semana,sku,stock_cajas,demanda_semana,reabasto_cajas,dias_inventario,quiebre_stock,merma_cajas,punto_reorden
2023-01-02,SKU001,2657,343,2494,54.2,0,19,1029
2023-01-09,SKU001,2028,610,0,23.3,0,0,1830
2023-01-16,SKU001,1403,625,0,15.7,0,5,1875
2023-01-23,SKU001,936,462,0,14.2,0,2,1386
2023-01-30,SKU001,3743,575,3384,45.6,0,46,1725
2023-02-06,SKU001,3264,433,0,52.8,0,27,1299
2023-02-13,SKU001,2793,444,0,44.0,0,19,1332
2023-02-20,SKU001,2453,321,0,53.5,0,19,963
2023-02-27,SKU001,2061,373,0,38.7,0,14,1119
2023-03-06,SKU001,1541,506,0,21.3,0,3,1518
2023-03-13,SKU001,4256,617,3335,48.3,0,56,1851
2023-03-20,SKU001,3746,454,0,57.8,0,52,1362
2023-03-27,SKU001,2858,836,0,23.9,0,1,2508
2023-04-03,SKU001,2112,745,0,19.8,0,6,2235
2023-04-10,SKU001,1617,489,0,23.1,0,0,1467
2023-04-17,SKU001,1235,382,0,22.6,0,3,1146
2023-04-24,SKU001,3507,571,2846,43.0,0,24,1713
2023-05-01,SKU001,2790,693,0,28.2,0,11,2079
2023-05-08,SKU001,1917,862,0,15.6,0,13,2586
2023-05-15,SKU001,5113,712,3921,50.3,0,51,2136
2023-05-22,SKU001,4416,646,0,47.9,0,40,1938
2023-05-29,SKU001,3996,380,0,73.6,0,5,1140
2023-06-05,SKU001,3133,858,0,25.6,0,5,2574
2023-06-12,SKU001,2341,787,0,20.8,0,24,2361
2023-06-19,SKU001,1641,676,0,17.0,0,11,2028
2023-06-26,SKU001,5286,652,4308,56.8,0,48,1956
2023-07-03,SKU001,4753,485,0,68.6,0,63,1455
2023-07-10,SKU001,4025,665,0,42.4,0,44,1995
2023-07-17,SKU001,3426,555,0,43.2,0,48,1665
2023-07-24,SKU001,3074,304,0,70.8,0,22,912
2023-07-31,SKU001,2313,739,0,21.9,0,26,2217
2023-08-07,SKU001,1651,636,0,18.2,0,20,1908
2023-08-14,SKU001,1215,416,0,20.4,0,3,1248
2023-08-21,SKU001,4137,530,3455,54.6,0,48,1590
2023-08-28,SKU001,3642,447,0,57.0,0,46,1341
2023-09-04,SKU001,3195,401,0,55.8,0,22,1203
2023-09-11,SKU001,2707,466,0,40.7,0,17,1398
2023-09-18,SKU001,2067,623,0,23.2,0,25,1869
2023-09-25,SKU001,1503,539,0,19.5,0,10,1617
2023-10-02,SKU001,1009,484,0,14.6,0,10,1452
2023-10-09,SKU001,3451,540,2992,44.7,0,23,1620
2023-10-16,SKU001,3137,291,0,75.5,0,2,873
2023-10-23,SKU001,2606,529,0,34.5,0,31,1587
2023-10-30,SKU001,2041,534,0,26.8,0,19,1602
2023-11-06,SKU001,4625,675,3278,48.0,0,16,2025
2023-11-13,SKU001,3936,673,0,40.9,0,29,2019
2023-11-20,SKU001,2861,1046,0,19.1,0,21,3138
2023-11-27,SKU001,2402,438,0,38.4,0,4,1314
2023-12-04,SKU001,1615,783,0,14.4,0,6,2349
2023-12-11,SKU001,3669,585,2645,43.9,0,5,1755
2023-12-18,SKU001,2979,685,0,30.4,0,26,2055
2023-12-25,SKU001,2296,657,0,24.5,0,32,1971
2024-01-01,SKU001,1673,591,0,19.8,0,21,1773
2024-01-08,SKU001,1446,206,0,49.1,0,9,618
2024-01-15,SKU001,6127,688,5378,62.3,0,31,2064
2024-01-22,SKU001,5428,668,0,56.9,0,43,2004
2024-01-29,SKU001,4827,558,0,60.6,0,19,1674
2024-02-05,SKU001,4311,497,0,60.7,0,22,1491
2024-02-12,SKU001,3755,534,0,49.2,0,20,1602
2024-02-19,SKU001,3190,545,0,41.0,0,1,1635
2024-02-26,SKU001,2941,248,0,83.0,0,33,744
2024-03-04,SKU001,2408,500,0,33.7,0,4,1500
2024-03-11,SKU001,1782,622,0,20.1,0,8,1866
2024-03-18,SKU001,5117,613,3956,58.4,0,24,1839
2024-03-25,SKU001,4569,524,0,61.0,0,55,1572
2024-04-01,SKU001,4094,420,0,68.2,0,59,1260
2024-04-08,SKU001,3555,480,0,51.8,0,16,1440
2024-04-15,SKU001,2837,702,0,28.3,0,27,2106
2024-04-22,SKU001,2457,353,0,48.7,0,16,1059
2024-04-29,SKU001,4,0,0,365.0,1,0,50
2024-05-06,SKU001,0,0,0,365.0,1,0,50
2024-05-13,SKU001,1087,314,1401,24.2,0,0,942
2024-05-20,SKU001,4519,1097,4529,28.8,0,50,3291
2024-05-27,SKU001,4055,414,0,68.6,0,59,1242
2024-06-03,SKU001,3324,672,0,34.6,0,21,2016
2024-06-10,SKU001,2885,418,0,48.3,0,36,1254
2024-06-17,SKU001,2304,545,0,29.6,0,27,1635
2024-06-24,SKU001,1604,673,0,16.7,0,2,2019
2024-07-01,SKU001,5058,742,4198,47.7,0,70,2226
2024-07-08,SKU001,4329,659,0,46.0,0,49,1977
2024-07-15,SKU001,3895,385,0,70.8,0,7,1155
2024-07-22,SKU001,3197,691,0,32.4,0,1,2073
2024-07-29,SKU001,3007,189,0,111.4,0,3,567
2024-08-05,SKU001,2450,554,0,31.0,0,31,1662
2024-08-12,SKU001,1698,721,0,16.5,0,19,2163
2024-08-19,SKU001,1135,544,0,14.6,0,14,1632
2024-08-26,SKU001,4161,627,3667,46.5,0,6,1881
2024-09-02,SKU001,3634,521,0,48.8,0,3,1563
2024-09-09,SKU001,3031,600,0,35.4,0,10,1800
2024-09-16,SKU001,2443,578,0,29.6,0,28,1734
2024-09-23,SKU001,1900,515,0,25.8,0,8,1545
2024-09-30,SKU001,1278,614,0,14.6,0,5,1842
2024-10-07,SKU001,3284,459,2470,50.1,0,4,1377
2024-10-14,SKU001,2693,587,0,32.1,0,8,1761
2024-10-21,SKU001,2240,445,0,35.2,0,32,1335
2024-10-28,SKU001,1638,570,0,20.1,0,2,1710
2024-11-04,SKU001,1093,543,0,14.1,0,13,1629
2024-11-11,SKU001,4331,573,3824,52.9,0,23,1719
2024-11-18,SKU001,3894,414,0,65.8,0,22,1242
2024-11-25,SKU001,2993,879,0,23.8,0,12,2637
2024-12-02,SKU001,2476,505,0,34.3,0,23,1515
2024-12-09,SKU001,1937,516,0,26.3,0,13,1548
2024-12-16,SKU001,1528,396,0,27.0,0,10,1188
2024-12-23,SKU001,4252,566,3300,52.6,0,42,1698
2024-12-30,SKU001,3766,444,0,59.4,0,48,1332
2023-01-02,SKU002,5865,827,6076,49.6,0,75,2481
2023-01-09,SKU002,4884,906,0,37.7,0,35,2718
2023-01-16,SKU002,4272,577,0,51.8,0,31,1731
2023-01-23,SKU002,3797,444,0,59.9,0,6,1332
2023-01-30,SKU002,3040,751,0,28.3,0,15,2253
2023-02-06,SKU002,2466,559,0,30.9,0,13,1677
2023-02-13,SKU002,1802,651,0,19.4,0,1,1953
2023-02-20,SKU002,4827,613,3639,55.1,0,50,1839
2023-02-27,SKU002,4192,585,0,50.2,0,46,1755
2023-03-06,SKU002,3467,679,0,35.7,0,16,2037
2023-03-13,SKU002,2650,801,0,23.2,0,22,2403
2023-03-20,SKU002,6052,990,4414,42.8,0,42,2970
2023-03-27,SKU002,5458,552,0,69.2,0,72,1656
2023-04-03,SKU002,4476,910,0,34.4,0,66,2730
2023-04-10,SKU002,3602,808,0,31.2,0,52,2424
2023-04-17,SKU002,2645,905,0,20.5,0,5,2715
2023-04-24,SKU002,2057,583,0,24.7,0,17,1749
2023-05-01,SKU002,8173,881,7014,64.9,0,44,2643
2023-05-08,SKU002,7232,897,0,56.4,0,20,2691
2023-05-15,SKU002,6458,754,0,60.0,0,73,2262
2023-05-22,SKU002,5679,706,0,56.3,0,29,2118
2023-05-29,SKU002,5040,610,0,57.8,0,29,1830
2023-06-05,SKU002,4190,821,0,35.7,0,33,2463
2023-06-12,SKU002,3496,661,0,37.0,0,13,1983
2023-06-19,SKU002,2760,723,0,26.7,0,10,2169
2023-06-26,SKU002,2079,671,0,21.7,0,15,2013
2023-07-03,SKU002,1427,637,0,15.7,0,14,1911
2023-07-10,SKU002,6202,782,5571,55.5,0,13,2346
2023-07-17,SKU002,5389,800,0,47.2,0,52,2400
2023-07-24,SKU002,4566,771,0,41.5,0,55,2313
2023-07-31,SKU002,3508,1003,0,24.5,0,5,3009
2023-08-07,SKU002,3073,430,0,50.0,0,29,1290
2023-08-14,SKU002,2050,994,0,14.4,0,29,2982
2023-08-21,SKU002,6514,683,5176,66.8,0,23,2049
2023-08-28,SKU002,5488,1003,0,38.3,0,61,3009
2023-09-04,SKU002,4400,1027,0,30.0,0,48,3081
2023-09-11,SKU002,3865,487,0,55.6,0,3,1461
2023-09-18,SKU002,3008,854,0,24.7,0,44,2562
2023-09-25,SKU002,2010,954,0,14.7,0,8,2862
2023-10-02,SKU002,6214,804,5016,54.1,0,46,2412
2023-10-09,SKU002,5554,614,0,63.3,0,70,1842
2023-10-16,SKU002,4269,1215,0,24.6,0,18,3645
2023-10-23,SKU002,3494,757,0,32.3,0,49,2271
2023-10-30,SKU002,2810,635,0,31.0,0,21,1905
2023-11-06,SKU002,2091,698,0,21.0,0,26,2094
2023-11-13,SKU002,7103,933,5971,53.3,0,68,2799
2023-11-20,SKU002,6257,778,0,56.3,0,45,2334
2023-11-27,SKU002,5454,758,0,50.4,0,73,2274
2023-12-04,SKU002,4524,857,0,37.0,0,13,2571
2023-12-11,SKU002,3812,699,0,38.2,0,57,2097
2023-12-18,SKU002,2810,945,0,20.8,0,38,2835
2023-12-25,SKU002,1989,783,0,17.8,0,20,2349
2024-01-01,SKU002,7429,1003,6463,51.8,0,13,3009
2024-01-08,SKU002,6961,455,0,107.1,0,94,1365
2024-01-15,SKU002,6063,804,0,52.8,0,35,2412
2024-01-22,SKU002,5483,545,0,70.4,0,18,1635
2024-01-29,SKU002,4840,625,0,54.2,0,13,1875
2024-02-05,SKU002,4457,370,0,84.3,0,47,1110
2024-02-12,SKU002,3648,762,0,33.5,0,52,2286
2024-02-19,SKU002,3197,399,0,56.1,0,19,1197
2024-02-26,SKU002,2531,647,0,27.4,0,22,1941
2024-03-04,SKU002,6981,1060,5532,46.1,0,53,3180
2024-03-11,SKU002,6130,798,0,53.8,0,91,2394
2024-03-18,SKU002,5544,495,0,78.4,0,62,1485
2024-03-25,SKU002,4853,629,0,54.0,0,31,1887
2024-04-01,SKU002,3927,895,0,30.7,0,27,2685
2024-04-08,SKU002,3505,395,0,62.1,0,35,1185
2024-04-15,SKU002,2757,713,0,27.1,0,15,2139
2024-04-22,SKU002,9646,1084,7988,62.3,0,20,3252
2024-04-29,SKU002,8869,757,0,82.0,0,75,2271
2024-05-06,SKU002,8391,403,0,145.7,0,0,1209
2024-05-13,SKU002,7568,823,0,64.4,0,12,2469
2024-05-20,SKU002,6929,627,0,77.4,0,2,1881
2024-05-27,SKU002,6040,887,0,47.7,0,52,2661
2024-06-03,SKU002,5161,827,0,43.7,0,21,2481
2024-06-10,SKU002,4099,1041,0,27.6,0,48,3123
2024-06-17,SKU002,3478,573,0,42.5,0,43,1719
2024-06-24,SKU002,2398,1037,0,16.2,0,11,3111
2024-07-01,SKU002,1594,793,0,14.1,0,23,2379
2024-07-08,SKU002,4805,568,3802,59.2,0,43,1704
2024-07-15,SKU002,3838,924,0,29.1,0,39,2772
2024-07-22,SKU002,2943,856,0,24.1,0,17,2568
2024-07-29,SKU002,2226,700,0,22.3,0,26,2100
2024-08-05,SKU002,5912,900,4612,46.0,0,53,2700
2024-08-12,SKU002,5351,508,0,73.7,0,1,1524
2024-08-19,SKU002,4671,679,0,48.2,0,45,2037
2024-08-26,SKU002,4066,560,0,50.8,0,3,1680
2024-09-02,SKU002,3577,486,0,51.5,0,45,1458
2024-09-09,SKU002,3082,450,0,47.9,0,37,1350
2024-09-16,SKU002,2334,711,0,23.0,0,19,2133
2024-09-23,SKU002,1755,560,0,21.9,0,19,1680
2024-09-30,SKU002,4889,767,3920,44.6,0,12,2301
2024-10-07,SKU002,3891,986,0,27.6,0,34,2958
2024-10-14,SKU002,3214,643,0,35.0,0,27,1929
2024-10-21,SKU002,2532,655,0,27.1,0,9,1965
2024-10-28,SKU002,1821,702,0,18.2,0,25,2106
2024-11-04,SKU002,5423,979,4606,38.8,0,39,2937
2024-11-11,SKU002,4479,905,0,34.6,0,33,2715
2024-11-18,SKU002,3853,593,0,45.5,0,1,1779
2024-11-25,SKU002,2822,1030,0,19.2,0,32,3090
2024-12-02,SKU002,10196,1105,8511,64.6,0,88,3315
2024-12-09,SKU002,9324,784,0,83.2,0,73,2352
2024-12-16,SKU002,8177,1074,0,53.3,0,65,3222
2024-12-23,SKU002,7311,801,0,63.9,0,41,2403
2024-12-30,SKU002,7146,124,0,365.0,0,78,372
2023-01-02,SKU003,3790,770,3764,34.5,0,30,2310
2023-01-09,SKU003,2941,819,0,25.1,0,38,2457
2023-01-16,SKU003,2291,612,0,26.2,0,18,1836
2023-01-23,SKU003,1690,583,0,20.3,0,23,1749
2023-01-30,SKU003,1151,516,0,15.6,0,3,1548
2023-02-06,SKU003,4347,753,3952,40.4,0,57,2259
2023-02-13,SKU003,3565,725,0,34.4,0,10,2175
2023-02-20,SKU003,2910,645,0,31.6,0,40,1935
2023-02-27,SKU003,2325,545,0,29.9,0,34,1635
2023-03-06,SKU003,1666,625,0,18.7,0,5,1875
2023-03-13,SKU003,5330,651,4320,57.3,0,54,1953
2023-03-20,SKU003,4579,697,0,46.0,0,59,2091
2023-03-27,SKU003,3600,920,0,27.4,0,8,2760
2023-04-03,SKU003,2849,743,0,26.8,0,28,2229
2023-04-10,SKU003,2196,625,0,24.6,0,16,1875
2023-04-17,SKU003,6182,793,4795,54.6,0,84,2379
2023-04-24,SKU003,5262,836,0,44.1,0,2,2508
2023-05-01,SKU003,4621,639,0,50.6,0,49,1917
2023-05-08,SKU003,3959,613,0,45.2,0,33,1839
2023-05-15,SKU003,3254,672,0,33.9,0,11,2016
2023-05-22,SKU003,2748,495,0,38.9,0,20,1485
2023-05-29,SKU003,2064,664,0,21.8,0,7,1992
2023-06-05,SKU003,1413,644,0,15.4,0,14,1932
2023-06-12,SKU003,5968,775,5344,53.9,0,32,2325
2023-06-19,SKU003,4968,968,0,35.9,0,66,2904
2023-06-26,SKU003,4167,735,0,39.7,0,0,2205
2023-07-03,SKU003,3498,669,0,36.6,0,45,2007
2023-07-10,SKU003,2562,891,0,20.1,0,15,2673
2023-07-17,SKU003,1698,849,0,14.0,0,14,2547
2023-07-24,SKU003,3787,628,2731,42.2,0,52,1884
2023-07-31,SKU003,3045,690,0,30.9,0,10,2070
2023-08-07,SKU003,2303,732,0,22.0,0,10,2196
2023-08-14,SKU003,1842,451,0,28.6,0,25,1353
2023-08-21,SKU003,6391,916,5490,48.8,0,18,2748
2023-08-28,SKU003,5692,681,0,58.5,0,40,2043
2023-09-04,SKU003,5011,641,0,54.7,0,68,1923
2023-09-11,SKU003,4348,595,0,51.2,0,8,1785
2023-09-18,SKU003,3724,616,0,42.3,0,47,1848
2023-09-25,SKU003,2881,796,0,25.3,0,23,2388
2023-10-02,SKU003,2259,599,0,26.4,0,7,1797
2023-10-09,SKU003,1528,724,0,14.8,0,10,2172
2023-10-16,SKU003,8351,1156,7989,50.6,0,111,3468
2023-10-23,SKU003,7702,538,0,100.2,0,10,1614
2023-10-30,SKU003,6749,943,0,50.1,0,50,2829
2023-11-06,SKU003,5527,1172,0,33.0,0,27,3516
2023-11-13,SKU003,4674,826,0,39.6,0,23,2478
2023-11-20,SKU003,3780,871,0,30.4,0,34,2613
2023-11-27,SKU003,3185,561,0,39.7,0,2,1683
2023-12-04,SKU003,2217,966,0,16.1,0,6,2898
2023-12-11,SKU003,1689,522,0,22.6,0,22,1566
2023-12-18,SKU003,5762,634,4729,63.6,0,63,1902
2023-12-25,SKU003,4789,910,0,36.8,0,1,2730
2024-01-01,SKU003,4120,668,0,43.2,0,41,2004
2024-01-08,SKU003,3376,703,0,33.6,0,28,2109
2024-01-15,SKU003,2724,624,0,30.6,0,27,1872
2024-01-22,SKU003,1951,746,0,18.3,0,20,2238
2024-01-29,SKU003,7253,804,6126,63.1,0,32,2412
2024-02-05,SKU003,6652,569,0,81.8,0,57,1707
2024-02-12,SKU003,6001,594,0,70.7,0,60,1782
2024-02-19,SKU003,4997,944,0,37.1,0,23,2832
2024-02-26,SKU003,4240,734,0,40.4,0,16,2202
2024-03-04,SKU003,3613,611,0,41.4,0,53,1833
2024-03-11,SKU003,2408,1152,0,14.6,0,6,3456
2024-03-18,SKU003,1645,757,0,15.2,0,16,2271
2024-03-25,SKU003,4111,688,3170,41.8,0,12,2064
2024-04-01,SKU003,3275,824,0,27.8,0,6,2472
2024-04-08,SKU003,2466,803,0,21.5,0,36,2409
2024-04-15,SKU003,5662,941,4173,42.1,0,17,2823
2024-04-22,SKU003,5151,494,0,73.0,0,52,1482
2024-04-29,SKU003,4526,573,0,55.3,0,59,1719
2024-05-06,SKU003,3578,889,0,28.2,0,22,2667
2024-05-13,SKU003,2695,861,0,21.9,0,20,2583
2024-05-20,SKU003,1788,887,0,14.1,0,2,2661
2024-05-27,SKU003,1208,578,0,14.6,0,4,1734
2024-06-03,SKU003,5515,724,5035,53.3,0,38,2172
2024-06-10,SKU003,4566,911,0,35.1,0,59,2733
2024-06-17,SKU003,3816,691,0,38.7,0,28,2073
2024-06-24,SKU003,3325,463,0,50.3,0,33,1389
2024-07-01,SKU003,2317,975,0,16.6,0,11,2925
2024-07-08,SKU003,1772,534,0,23.2,0,16,1602
2024-07-15,SKU003,3999,657,2900,42.6,0,9,1971
2024-07-22,SKU003,3322,668,0,34.8,0,10,2004
