oc_id,fecha_pedido,fecha_recepcion_esperada,proveedor,sku,marca,cantidad_cajas,costo_unitario,monto_total_mxn,lead_time_dias,condicion_pago,recibido
OC00001,2022-12-27,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,2494,369.01,920310.94,6,60 días,1
OC00002,2023-01-23,2023-01-30,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3384,356.85,1207580.4,7,60 días,1
OC00003,2023-03-03,2023-03-13,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3335,368.26,1228147.1,10,Contado,1
OC00004,2023-04-14,2023-04-24,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,2846,358.94,1021543.24,10,45 días,1
OC00005,2023-05-05,2023-05-15,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3921,376.23,1475197.83,10,30 días,1
OC00006,2023-06-17,2023-06-26,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,4308,347.97,1499054.76,9,60 días,1
OC00007,2023-08-16,2023-08-21,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3455,350.46,1210839.3,5,60 días,1
OC00008,2023-10-02,2023-10-09,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,2992,366.65,1097016.8,7,Contado,1
OC00009,2023-10-29,2023-11-06,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3278,369.31,1210598.18,8,Contado,1
OC00010,2023-12-02,2023-12-11,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,2645,367.23,971323.35,9,60 días,1
OC00011,2024-01-06,2024-01-15,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,5378,353.87,1903112.86,9,30 días,1
OC00012,2024-03-13,2024-03-18,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3956,354.1,1400819.6,5,Contado,1
OC00013,2024-05-06,2024-05-13,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,1401,359.83,504121.83,7,Contado,1
OC00014,2024-05-11,2024-05-20,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,4529,344.13,1558564.77,9,30 días,1
OC00015,2024-06-23,2024-07-01,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,4198,348.24,1461911.52,8,60 días,1
OC00016,2024-08-16,2024-08-26,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3667,381.04,1397273.68,10,60 días,1
OC00017,2024-09-28,2024-10-07,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,2470,357.6,883272.0,9,30 días,1
OC00018,2024-11-05,2024-11-11,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3824,352.45,1347768.8,6,30 días,1
OC00019,2024-12-16,2024-12-23,PROV001 - Laboratorios Jaloma SA de CV,SKU001,Jaloma Belleza,3300,351.66,1160478.0,7,30 días,1
OC00020,2022-12-24,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,6076,546.28,3319197.28,9,30 días,1
OC00021,2023-02-15,2023-02-20,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,3639,585.53,2130743.67,5,60 días,1
OC00022,2023-03-15,2023-03-20,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,4414,564.85,2493247.9,5,60 días,1
OC00023,2023-04-23,2023-05-01,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,7014,511.71,3589133.94,8,Contado,1
OC00024,2023-07-03,2023-07-10,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,5571,567.72,3162768.12,7,30 días,1
OC00025,2023-08-11,2023-08-21,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,5176,521.98,2701768.48,10,Contado,1
OC00026,2023-09-27,2023-10-02,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,5016,526.01,2638466.16,5,45 días,1
OC00027,2023-11-05,2023-11-13,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,5971,529.92,3164152.32,8,30 días,1
OC00028,2023-12-25,2024-01-01,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,6463,514.63,3326053.69,7,30 días,1
OC00029,2024-02-26,2024-03-04,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,5532,567.77,3140903.64,7,Contado,1
OC00030,2024-04-12,2024-04-22,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,7988,527.48,4213510.24,10,Contado,1
OC00031,2024-06-28,2024-07-08,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,3802,494.68,1880773.36,10,60 días,1
OC00032,2024-07-31,2024-08-05,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,4612,521.7,2406080.4,5,Contado,1
OC00033,2024-09-21,2024-09-30,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,3920,544.27,2133538.4,9,Contado,1
OC00034,2024-10-27,2024-11-04,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,4606,502.84,2316081.04,8,60 días,1
OC00035,2024-11-24,2024-12-02,PROV001 - Laboratorios Jaloma SA de CV,SKU002,Jaloma Belleza,8511,545.83,4645559.13,8,45 días,1
OC00036,2022-12-25,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,3764,405.08,1524721.12,8,45 días,1
OC00037,2023-01-31,2023-02-06,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,3952,438.75,1733940.0,6,30 días,1
OC00038,2023-03-08,2023-03-13,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,4320,427.65,1847448.0,5,60 días,1
OC00039,2023-04-07,2023-04-17,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,4795,421.35,2020373.25,10,Contado,1
OC00040,2023-06-07,2023-06-12,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,5344,393.98,2105429.12,5,Contado,1
OC00041,2023-07-19,2023-07-24,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,2731,398.33,1087839.23,5,60 días,1
OC00042,2023-08-12,2023-08-21,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,5490,410.28,2252437.2,9,45 días,1
OC00043,2023-10-10,2023-10-16,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,7989,416.16,3324702.24,6,45 días,1
OC00044,2023-12-09,2023-12-18,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,4729,445.68,2107620.72,9,Contado,1
OC00045,2024-01-24,2024-01-29,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,6126,424.98,2603427.48,5,Contado,1
OC00046,2024-03-19,2024-03-25,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,3170,413.56,1310985.2,6,45 días,1
OC00047,2024-04-08,2024-04-15,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,4173,444.78,1856066.94,7,Contado,1
